COUNTRYCODE,YEAR,TERTIARYCOMPLETIONRATE,EDUCATIONGDPSHARE,NOBELLAUREATES,PATENTFILINGS
THA,1875,0.0,,,
TTO,1875,0.0,,,
TUN,1875,0.0,,,
TUR,1875,0.0,,,
TWN,1875,0.0,,,
UGA,1875,0.0,,,
URY,1875,0.1,,,
USA,1875,1.0,,,
VEN,1875,0.0,,,
YEM,1875,0.0,,,
ZAF,1875,0.0,,,
ZMB,1875,0.0,,,
ZWE,1875,0.0,,,
AFG,1880,0.0,,,
AFR,1880,0.0,,,
ALB,1880,0.0,,,
AMN,1880,0.7827632,,,
AMS,1880,0.033489745,,,
ARG,1880,0.1,,,
ASI,1880,0.0,,,
AUS,1880,0.0,,,
AUT,1880,0.9,,,
BEL,1880,0.5,,,
BEN,1880,0.0,,,
BGD,1880,0.0,,,
BGR,1880,0.0,,,
BLZ,1880,0.0,,,
BOL,1880,0.1,,,
BRA,1880,0.0,,,
BRB,1880,0.0,,,
CAN,1880,0.0,,,
CHE,1880,0.2,,,
CHL,1880,0.1,,,
CHN,1880,0.0,,,
CIV,1880,0.0,,,
CMR,1880,0.0,,,
COD,1880,0.0,,,
COL,1880,0.1,,,
CRI,1880,0.0,,,
CUB,1880,0.1,,,
CYP,1880,0.0,,,
CZE,1880,0.2,,,
DEU,1880,0.4,,,
DNK,1880,0.1,,,
DOM,1880,0.0,,,
DZA,1880,0.0,,,
ECU,1880,0.0,,,
EGY,1880,0.0,,,
ESP,1880,0.2,,,
EUR,1880,0.23425554,,,
FIN,1880,0.2,,,
FJI,1880,0.0,,,
FRA,1880,0.3,,,
GBR,1880,0.3,,,
GHA,1880,0.0,,,
GMB,1880,0.0,,,
GRC,1880,0.2,,,
GTM,1880,0.0,,,
GUY,1880,0.0,,,
HKG,1880,0.0,,,
HND,1880,0.0,,,
HTI,1880,0.0,,,
HUN,1880,0.2,,,
IDN,1880,0.0,,,
IND,1880,0.0,,,
IRL,1880,0.1,,,
IRN,1880,0.0,,,
IRQ,1880,0.0,,,
ISL,1880,0.0,,,
ITA,1880,0.2,,,
JAM,1880,0.0,,,
JOR,1880,0.0,,,
JPN,1880,0.0,,,
KEN,1880,0.0,,,
KHM,1880,0.0,,,
KOR,1880,0.0,,,
KWT,1880,0.0,,,
LBR,1880,0.0,,,
LBY,1880,0.0,,,
LKA,1880,0.0,,,
LSO,1880,0.0,,,
LUX,1880,0.0,,,
MAR,1880,0.0,,,
MEX,1880,0.1,,,
MLI,1880,0.0,,,
MLT,1880,0.0,,,
MMR,1880,0.0,,,
MOZ,1880,0.0,,,
MUS,1880,0.0,,,
MWI,1880,0.0,,,
MYS,1880,0.0,,,
NER,1880,0.0,,,
NIC,1880,0.0,,,
NLD,1880,0.2,,,
NOR,1880,0.5,,,
NPL,1880,0.0,,,
NZL,1880,0.1,,,
OWID_WRL,1880,0.09858375,,,
PAK,1880,0.0,,,
PAN,1880,0.0,,,
PER,1880,0.0,,,
PHL,1880,0.0,,,
POL,1880,0.1,,,
PRT,1880,0.2,,,
PRY,1880,0.0,,,
REU,1880,0.0,,,
ROU,1880,0.0,,,
RUS,1880,0.1,,,
SDN,1880,0.0,,,
SEN,1880,0.0,,,
SLE,1880,0.0,,,
SLV,1880,0.0,,,
SRB,1880,0.0,,,
SWE,1880,0.2,,,
SWZ,1880,0.0,,,
SYR,1880,0.0,,,
TGO,1880,0.0,,,
THA,1880,0.0,,,
TTO,1880,0.0,,,
TUN,1880,0.0,,,
TUR,1880,0.0,,,
TWN,1880,0.0,,,
UGA,1880,0.0,,,
URY,1880,0.1,,,
USA,1880,1.1,,,
VEN,1880,0.0,,,
YEM,1880,0.0,,,
ZAF,1880,0.0,,,
ZMB,1880,0.0,,,
ZWE,1880,0.0,,,
ARG,1883,,,,62.0
CAN,1883,,,,2641.0
DEU,1883,,,,8121.0
GBR,1883,,,,5993.0
USA,1883,,,,34073.0
ARG,1884,,,,46.0
BEL,1884,,,,1124.0
BEL,1884,,,,2541.0
CAN,1884,,,,2681.0
DEU,1884,,,,8607.0
GBR,1884,,,,12356.0
GBR,1884,,,,4754.0
ITA,1884,,,,1350.0
USA,1884,,,,34192.0
AFG,1885,0.0,,,
AFR,1885,0.0,,,
ALB,1885,0.0,,,
AMN,1885,1.0060134,,,
AMS,1885,0.04222951,,,
ARG,1885,0.1,,,73.0
ASI,1885,0.0,,,
AUS,1885,0.1,,,
AUT,1885,1.0,,,
BEL,1885,0.5,,,
BEN,1885,0.0,,,
BGD,1885,0.0,,,
BGR,1885,0.0,,,
BLZ,1885,0.0,,,
BOL,1885,0.1,,,
BRA,1885,0.0,,,
BRB,1885,0.0,,,
CAN,1885,0.0,,,2548.0
CHE,1885,0.2,,,
CHL,1885,0.2,,,
CHN,1885,0.0,,,
CIV,1885,0.0,,,
CMR,1885,0.0,,,
COD,1885,0.0,,,
COL,1885,0.1,,,
CRI,1885,0.0,,,
CUB,1885,0.1,,,
CYP,1885,0.0,,,
CZE,1885,0.2,,,
DEU,1885,0.5,,,9408.0
DNK,1885,0.1,,,
DOM,1885,0.0,,,
DZA,1885,0.0,,,
ECU,1885,0.0,,,
EGY,1885,0.0,,,
ESP,1885,0.3,,,
EUR,1885,0.266269,,,
FIN,1885,0.2,,,
FJI,1885,0.0,,,
FRA,1885,0.3,,,8917.0
GBR,1885,0.3,,,11254.0
GBR,1885,0.3,,,4847.0
GHA,1885,0.0,,,
GMB,1885,0.0,,,
GRC,1885,0.3,,,
GTM,1885,0.0,,,
GUY,1885,0.0,,,
HKG,1885,0.0,,,
HND,1885,0.0,,,
HTI,1885,0.0,,,
HUN,1885,0.2,,,
IDN,1885,0.0,,,
IND,1885,0.0,,,
IRL,1885,0.1,,,
IRN,1885,0.0,,,
IRQ,1885,0.0,,,
ISL,1885,0.0,,,
ITA,1885,0.3,,,1540.0
JAM,1885,0.0,,,
JOR,1885,0.0,,,
JPN,1885,0.0,,,425.0
KEN,1885,0.0,,,
KHM,1885,0.0,,,
KOR,1885,0.0,,,
KWT,1885,0.0,,,
LBR,1885,0.0,,,
LBY,1885,0.0,,,
LKA,1885,0.0,,,
LSO,1885,0.0,,,
LUX,1885,0.0,,,
MAR,1885,0.0,,,
MEX,1885,0.1,,,
MLI,1885,0.0,,,
MLT,1885,0.0,,,
MMR,1885,0.0,,,
MOZ,1885,0.0,,,
MUS,1885,0.0,,,
MWI,1885,0.0,,,
MYS,1885,0.0,,,
NER,1885,0.0,,,
NIC,1885,0.0,,,
NLD,1885,0.2,,,
NOR,1885,0.5,,,
NPL,1885,0.0,,,
NZL,1885,0.2,,,
OWID_WRL,1885,0.120931074,,,
PAK,1885,0.0,,,
PAN,1885,0.0,,,
PER,1885,0.0,,,
PHL,1885,0.0,,,
POL,1885,0.1,,,
PRT,1885,0.2,,,
PRY,1885,0.0,,,
REU,1885,0.0,,,
