COUNTRYCODE,YEAR,MERCHANDISEEXPORTGDPSHARE
AND,1994,4e-05
AND,1996,0.03582
AGO,1975,24.11183
AGO,1976,16.54233
AGO,1977,18.02712
AGO,1978,19.78358
AGO,1979,22.82086
AGO,1980,25.62903
AGO,1981,23.8114
AGO,1982,20.17248
AGO,1983,28.88499
AGO,1984,51.61231
AGO,1985,55.05719
AGO,1986,33.35825
AGO,1987,40.30965
AGO,1988,41.3822
AGO,1989,31.62478
AGO,1990,41.39008
AGO,1991,23.58351
AGO,1992,37.54907
AGO,1993,31.41075
AGO,1994,30.90104
AGO,1995,75.52266
AGO,1996,65.57774
AGO,1997,60.71386
AGO,1998,54.4513
AGO,1999,73.53621
AGO,2000,84.84605
AGO,2001,70.83051
AGO,2002,58.76295
AGO,2003,60.58094
AGO,2004,61.12993
AGO,2005,75.24806
AGO,2006,72.67997
AGO,2007,64.94651
AGO,2008,78.95184
AGO,2009,51.08056
AGO,2010,60.82996
AGO,2011,57.43282
AGO,2012,58.12221
AGO,2013,53.05933
AGO,2014,48.72895
ATG,1977,49.89082
ATG,1978,50.76444
ATG,1979,54.20599
ATG,1980,27.25621
ATG,1981,32.13808
ATG,1982,15.2227
ATG,1983,13.04884
ATG,1984,10.37398
ATG,1985,8.42156
ATG,1986,8.13351
ATG,1987,6.63236
ATG,1988,5.01925
ATG,1989,4.28491
ATG,1990,5.36302
ATG,1991,12.18357
ATG,1992,15.33876
ATG,1993,13.5805
ATG,1994,8.79844
ATG,1995,10.47227
ATG,1996,14.03252
ATG,1997,14.91135
ATG,1998,5.75366
ATG,1999,5.82955
ATG,2000,17.20436
ATG,2001,43.76185
ATG,2002,94.61527
ATG,2003,48.01107
ATG,2004,26.34997
ATG,2005,18.62654
ATG,2006,31.47189
ATG,2007,22.84865
ATG,2008,18.28463
ATG,2009,10.80675
ATG,2010,11.26444
ATG,2011,10.97571
ATG,2012,9.6479
ATG,2013,12.76916
ATG,2014,10.79257
ARG,1884,50.88217
ARG,1885,39.77808
